"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel","resolution"
"Suspended",,,,"Suspended",,,,,,,
"Final Fantasy Adventure",,,"Final Fantasy Adventure",,,,,,,,
"Final Fantasy Adventure",,,"Mystic Quest",,,,,,,,
"Final Fantasy Adventure",,,"Mystic Quest",,,,,,,,
"Final Fantasy Adventure",,,"Mystic Quest",,,,,,,,
"Final Fantasy Adventure",,,"聖剣伝説 〜ファイナルファンタジー外伝〜",,,,,,,,
"Final Fantasy Adventure",,,"Final Fantasy Adventure",,,,,,,,
"Final Fantasy Adventure",,,"Mystic Quest",,,,,,,,
"Final Fantasy Adventure",,,"Sword of Mana",,,,,,,,
"Final Fantasy Adventure",,,"Final Fantasy Adventure",,,,,,,,
"Final Fantasy Adventure",,,"聖劍傳說 ～最終幻想外傳～",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"فاينل فانتازي 2",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"ファイナルファンタジーII",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy II",,,"最终幻想II",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"فاينل فانتازي IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"ファイナルファンタジーIV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy IV",,,"最終幻想IV",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"فاينل فانتازي تاكتيكس",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"ファイナルファンタジータクティクス",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy Tactics",,,"最终幻想战略版",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"فاينل فانتازي 5",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"ファイナルファンタジーV",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy V",,,"最终幻想V",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"فاينل فانتازي VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"ファイナルファンタジーVI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VI",,,"最终幻想VI",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"فاينل فانتازي VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"ファイナルファンタジーVII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VII",,,"最终幻想VII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"فاينل فانتازي VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"ファイナルファンタジーVIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy VIII",,,"最终幻想VIII",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"فاينل فانتازي X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"ファイナルファンタジーX",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"Final Fantasy X",,,"最终幻想X",,,,,,,,
"The Final Fantasy Legend",,,"The Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"ذا فاينل فانتازي ليجند",,,,,,,,
"The Final Fantasy Legend",,,"Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"The Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"The Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"魔界塔士Sa・Ga",,,,,,,,
"The Final Fantasy Legend",,,"The Final Fantasy Legend",,,,,,,,
"The Final Fantasy Legend",,,"魔界塔士 沙加",,,,,,,,
"Finnish skittles",,,,,,,,,,,
"3DO Interactive Multiplayer",,,,,,,,,,,
"5.56×45mm NATO",,,,,,,,,,,
"500 (card game)",,,,,,,,,,,
"Ars Magica",,,,,,,,,,,
"Baccarat (card game)",,,,,,,,,,,
"Barber paradox",,,,,,,,,,,
"Bud",,,,,,,,,,,
"Commander Keen",,,,,,,,,,,
"Dr. Mario",,,,,,,,,,,
"Fanorona",,,,,,,,,,,
"Fictionary",,,,,,,,,,,
"Final Fantasy Chronicles",,,,,,,,,,,
"Final Fantasy IX",,,,,,,,,,,
"Final Fantasy Mystic Quest",,,,,,,,,,,
"FreeCell",,,,,,,,,,,
"GameCube",,,,,,,,,,,
"Game of chance",,,,,,,,,,,
"Gin rummy",,,,,,,,,,,
"Hide-and-seek",,,,,,,,,,,
"Kill Doctor Lucky",,,,,,,,,,,
"Kiss",,,,,,,,,,,
"Klondike (solitaire)",,,,,,,,,,,
"Kuru Kuru Kururin",,,,,,,,,,,
"Let It Ride (card game)",,,,,,,,,,,
"List of chess variants",,,,,,,,,,,
"Locost",,,,,,,,,,,
"Luge",,,,,,,,,,,
"MIDI Maze",,,,,,,,,,,
"Mario Kart: Super Circuit",,,,,,,,,,,
"Mornington Crescent (game)",,,,,,,,,,,
"Pachinko",,,,,,,,,,,
"Peg solitaire",,,,,,,,,,,
"Quiz bowl",,,,,,,,,,,
"Radiant Silvergun",,,,,,,,,,,
"Red dog (card game)",,,,,,,,,,,
"Risk (game)",,,,,,,,,,,
"Rolemaster",,,,,,,,,,,
"Russian roulette",,,,,,,,,,,
"SameGame",,,,,,,,,,,
"Scotland Yard (board game)",,,,,,,,,,,
"Sega CD",,,,,,,,,,,
"Set (game)",,,,,,,,,,,
"Shiritori",,,,,,,,,,,
"SimCity (1989 video game)",,,,,,,,,,,
"Six Degrees of Kevin Bacon",,,,,,,,,,,
"Snakes and Ladders",,,,,,,,,,,
"Sokoban",,,,,,,,,,,
"Soma cube",,,,,,,,,,,
"Spellevator",,,,,,,,,,,
"Storytelling game",,,,,,,,,,,
"Strategic bombing",,,,,,,,,,,
"Stratego",,,,,,,,,,,
"Strategy game",,,,,,,,,,,
"Super Bowl III",,,,,,,,,,,
"Super Bowl IX",,,,,,,,,,,
"Super Bowl V",,,,,,,,,,,
"Super Bowl VI",,,,,,,,,,,
"Super Bowl VII",,,,,,,,,,,
"Super Bowl VIII",,,,,,,,,,,
"Super Bowl X",,,,,,,,,,,
"Super Bowl XI",,,,,,,,,,,
"Super Bowl XII",,,,,,,,,,,
"Super Bowl XIII",,,,,,,,,,,
"Super Bowl XIV",,,,,,,,,,,
"Super Bowl XIX",,,,,,,,,,,
"Super Bowl XV",,,,,,,,,,,
"Super Bowl XVI",,,,,,,,,,,
"Super Bowl XVII",,,,,,,,,,,
"Super Bowl XVIII",,,,,,,,,,,
"Super Bowl XX",,,,,,,,,,,
"Super Bowl XXI",,,,,,,,,,,
"Super Bowl XXII",,,,,,,,,,,
"Super Bowl XXIII",,,,,,,,,,,
"Super Bowl XXIV",,,,,,,,,,,
"Super Bowl XXIX",,,,,,,,,,,
"Super Bowl XXV",,,,,,,,,,,
"Super Bowl XXVI",,,,,,,,,,,
"Super Bowl XXVII",,,,,,,,,,,
"Super Bowl XXVIII",,,,,,,,,,,
"Super Bowl XXX",,,,,,,,,,,
"Super Bowl XXXI",,,,,,,,,,,
"Super Bowl XXXII",,,,,,,,,,,
"Super Bowl XXXIII",,,,,,,,,,,
"Super Bowl XXXIV",,,,,,,,,,,
"Super Bowl XXXV",,,,,,,,,,,
"Super Bowl XXXVI",,,,,,,,,,,
"Superworld",,,,,,,,,,,
"System Shock",,,,,,,,,,,
"TWERPS",,,,,,,,,,,
"TacTix",,,,,,,,,,,
"Tangloids",,,,,,,,,,,
"Tangram",,,,,,,,,,,
"Tarocchini",,,,,,,,,,,
"Tarot",,,,,,,,,,,
"Tetris",,,,,,,,,,,
"The Dozens",,,,,,,,,,,
"The Fantasy Trip",,,,,,,,,,,
"The Sims (video game)",,,,,,,,,,,
"Three utilities problem",,,,,,,,,,,
"Tic-tac-toe",,,,,,,,,,,
"Tien Gow",,,,,,,,,,,
"Tile-based game",,,,,,,,,,,
"Time Crisis (video game)",,,,,,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","Unreal (videogioco)",,,,,,,
"Unreal",,,"魔域幻境","Unreal (videogioco)",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal (videogioco)","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal (computerspel)","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"Unreal","魔域幻境",,,,,,,
"Unreal",,,"魔域幻境","魔域幻境",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal (computerspel)",,,,,,,
"Unreal",,,"魔域幻境","Unreal (computerspel)",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (videogioco)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal (computerspel)","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"Unreal","Unreal",,,,,,,
"Unreal",,,"魔域幻境","Unreal",,,,,,,
"Psychonauts 2",,,"Psychonauts 2","Psychonauts 2",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"ゾーク",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"Zork",,,,,,,
"Zork",,,,"魔域",,,,,,,
"Battlefield: Bad Company 2",,,,"باتلفيلد: باد كامباني 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"バトルフィールド バッド カンパニー2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Battlefield: Bad Company 2",,,,"战地：叛逆连队2",,,,,,,
"Battlefield: Bad Company 2",,,,"Battlefield: Bad Company 2",,,,,,,
"Burnout 3: Takedown",,,,"برن آوت 3",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout 3: Takedown",,,,"Burnout 3: Takedown",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Burnout Dominator",,,,"Burnout Dominator",,,,,,,
"Dark Matter (video game)",,,,"Dark Matter (video game)",,,,,,,
"Granado Espada",,,,"Granado Espada",,,,,,,
"Granado Espada",,,,"Granado Espada",,,,,,,
"Granado Espada",,,,"Granado Espada",,,,,,,
"Granado Espada",,,,"グラナド・エスパダ",,,,,,,
"Granado Espada",,,,"Sword of the New World",,,,,,,
"Granado Espada",,,,"Granado Espada",,,,,,,
"Granado Espada",,,,"Granado Espada",,,,,,,
"Jigsaw (video game)",,,,"Jigsaw (video game)",,,,,,,
"Kaboom: The Suicide Bombing Game",,,,"Kaboom: The Suicide Bombing Game",,,,,,,
"Prince of Persia: The Sands of Time",,,,"برنس أوف بيرشيا: ذا ساندز أوف تايم",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: The Sands of Time",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: Las Arenas del Tiempo",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia : Les Sables du temps",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: Le sabbie del tempo",,,,,,,
"Prince of Persia: The Sands of Time",,,,"プリンス・オブ・ペルシャ 時間の砂",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: The Sands of Time",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: Piaski czasu",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: The Sands of Time",,,,,,,
"Prince of Persia: The Sands of Time",,,,"Prince of Persia: The Sands of Time",,,,,,,
"Prince of Persia: The Sands of Time",,,,"波斯王子：时之砂",,,,,,,
"Takedown: Red Sabre",,,,"Takedown: Red Sabre",,,,,,,
"Tera (video game)",,,,"The Exiled Realm of Arborea",,,,,,,
"Tera (video game)",,,,"The Exiled Realm of Arborea",,,,,,,
"Tera (video game)",,,,"TERA: Rising",,,,,,,
"Tera (video game)",,,,"The Exiled Realm of Arborea",,,,,,,
"Tera (video game)",,,,"TERA (オンラインゲーム)",,,,,,,
"Tera (video game)",,,,"TERA",,,,,,,
"Tera (video game)",,,,"Tera Online",,,,,,,
"Tera (video game)",,,,"TERA: The Exiled Realm of Arborea",,,,,,,
"Tera (video game)",,,,"TERA Online",,,,,,,
"Tera (video game)",,,,"Tera (video game)",,,,,,,
"The Snow Queen (video game)",,,,"The Snow Queen (video game)",,,,,,,
"300: March to Glory",,,,"300: March to Glory",,,,,,,
"300: March to Glory",,,,"300 in marcia per la gloria",,,,,,,
"300: March to Glory",,,,"300: March to Glory",,,,,,,
"300: March to Glory",,,,"300: March to Glory",,,,,,,
"ARCA Sim Racing '08",,,,"ARCA Sim Racing '08",,,,,,,
"Advent Rising",,,,"Advent Rising",,,,,,,
"Advent Rising",,,,"Advent Rising",,,,,,,
"Advent Rising",,,,"Advent Rising",,,,,,,
"Advent Rising",,,,"Advent Rising",,,,,,,
"Advent Rising",,,,"Advent Rising",,,,,,,
"Besiege (video game)",,,,"Besiege",,,,,,,
"Besiege (video game)",,,,"Besiege",,,,,,,
"Besiege (video game)",,,,"Besiege (video game)",,,,,,,
"Big Money!",,,,"Big Money!",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Burnout 2: Point of Impact",,,,"Burnout 2: Point of Impact",,,,,,,
"Destroy All Humans! Path of the Furon",,,,"Destroy All Humans! En route vers Paname !",,,,,,,
